service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132.0.1,1,1,1,1,1,0,0,20230430,20230701
132.0.2,0,0,0,0,0,1,0,20230430,20230701
132.0.3,0,0,0,0,0,0,1,20230430,20230701
132.0.74,0,0,0,0,0,0,0,20230430,20230701
132.0.75,0,0,0,0,0,0,0,20230430,20230701
132.0.76,0,0,0,0,0,0,0,20230430,20230701
132.0.80,0,0,0,0,0,0,0,20230430,20230701
132.0.81,0,0,0,0,0,0,0,20230430,20230701
132.0.82,0,0,0,0,0,0,0,20230430,20230701
